date,total_trips,avg_trip_time_in_minutes
10-01-2019,18425,20.14
10-02-2019,9882,15.17
10-03-2019,15647,18.77
10-04-2019,14570,22.57
10-05-2019,10452,28.31
10-06-2019,13396,37.4
10-07-2019,17256,16.8
10-08-2019,17537,19.78
10-09-2019,17226,19.57
10-10-2019,15795,21.87
10-11-2019,8016,15.25
10-12-2019,8702,23.43
10-13-2019,10533,27.71
10-14-2019,13785,20.47
10-15-2019,13297,15.52
10-16-2019,12886,19.22
10-17-2019,13635,15.0
10-18-2019,14096,20.1
10-19-2019,13953,45.27
10-20-2019,10419,35.88
10-21-2019,11757,15.56
10-22-2019,11011,24.29
10-23-2019,13011,20.21
10-24-2019,12390,15.76
10-25-2019,11910,16.52
10-26-2019,3326,30.49
10-27-2019,9422,29.58
10-28-2019,11780,14.93
10-29-2019,9876,19.3
10-30-2019,4335,22.89
10-31-2019,3460,14.73
11-01-2019,7312,14.28
11-02-2019,5271,21.41
11-03-2019,6096,24.1
11-04-2019,11067,15.75
11-05-2019,10013,18.68
11-06-2019,9571,15.5
11-07-2019,7506,12.22
11-08-2019,6772,20.16
11-09-2019,5396,20.95
11-10-2019,4648,29.61
11-11-2019,2174,12.75
11-12-2019,3471,13.04
11-13-2019,4139,23.69
11-14-2019,5539,14.3
11-15-2019,6137,12.88
11-16-2019,4260,19.55
11-17-2019,3507,15.28
11-18-2019,7795,13.89
11-19-2019,7456,13.87
11-20-2019,9205,22.08
11-21-2019,6717,14.72
11-22-2019,7612,13.88
11-23-2019,4434,30.36
11-24-2019,5041,23.38
11-25-2019,9074,15.03
11-26-2019,6437,20.31
11-27-2019,4340,15.61
11-28-2019,1575,30.66
11-29-2019,3073,37.14
11-30-2019,1538,23.38
12-01-2019,1887,28.32
12-02-2019,6964,13.75
12-03-2019,7684,20.24
12-04-2019,8200,12.18
12-05-2019,8788,17.38
12-06-2019,7221,13.91
12-07-2019,4162,19.05
12-08-2019,3975,17.56
12-09-2019,6948,13.02
12-10-2019,5388,11.66
12-11-2019,4862,11.11
12-12-2019,6628,12.63
12-13-2019,7485,20.17
12-14-2019,3511,24.73
12-15-2019,2645,14.98
12-16-2019,5765,11.21
12-17-2019,5973,13.99
12-18-2019,4762,10.4
12-19-2019,5691,12.81
12-20-2019,5778,14.95
12-21-2019,3851,21.83
12-22-2019,3953,27.88
12-23-2019,5540,14.49
12-24-2019,3062,23.58
12-25-2019,2420,33.81
12-26-2019,5801,24.27
12-27-2019,3981,18.44
12-28-2019,2768,24.58
12-29-2019,3902,25.16
12-30-2019,3308,13.67
12-31-2019,2189,16.83
